name,link
2018年美国7.6分恐怖片《遗传厄运》BD中英双字,https://www.dy2018.com//i/99901.html
2018年美国7.1分喜剧片《瞒天过海：美人计》BD中英双字,https://www.dy2018.com//i/99897.html
2018年韩国6.6分恐怖片《昆池岩》BD韩语中字,https://www.dy2018.com//i/99431.html
2018年美国6.5分动作片《摩天营救》HD韩版中字,https://www.dy2018.com//i/99860.html
2017年印度8.0分剧情片《神秘巨星》BD中字,https://www.dy2018.com//i/99111.html
2018年美国7.9分动作片《死侍2》未分级加长版BD中英双字,https://www.dy2018.com//i/99800.html
2018年法国6.0分动作片《的士速递5》BD法语中字,https://www.dy2018.com//i/99841.html
2018年香港犯罪片《泄密者》BD国粤双语中字,https://www.dy2018.com//i/99763.html
2018年美国8.2分动作片《复仇者联盟3：无限战争》BD中英双字,https://www.dy2018.com//i/99821.html
2018年欧美6.9分科幻片《侏罗纪世界2》HD韩版中英双字,https://www.dy2018.com//i/99811.html
2018年日本7.6分剧情片《去年冬天与你分手》BD中字,https://www.dy2018.com//i/99810.html
2018年日本动画片《烟花》BD日语中字,https://www.dy2018.com//i/99797.html
2018年国产7.1分动画片《妈妈咪鸭》HD高清国语中字,https://www.dy2018.com//i/99772.html
2018年印度7.7分剧情片《倾城十月》BD中字,https://www.dy2018.com//i/99770.html
2018年国产喜剧片《龙虾刑警》HD国语中英双字,https://www.dy2018.com//i/99769.html
2018年国产8.5分动作片《红海行动》BD国语中字,https://www.dy2018.com//i/99426.html
2018年欧美8.4分动画片《犬之岛》BD国英双语中英双字,https://www.dy2018.com//i/99655.html
2018年美国6.7分动作片《狂暴巨兽》BD中英双字,https://www.dy2018.com//i/99645.html
2018年美国动作片《金蝉脱壳2》BD中英双字,https://www.dy2018.com//i/99632.html
2018年美国8.9分动作片《头号玩家》BD中英双字,https://www.dy2018.com//i/99469.html
2018年国产7.1分喜剧片《超时空同居》HD国语中英双字,https://www.dy2018.com//i/99697.html
2018年美国6.6分恐怖片《寂静之地》BD中英双字,https://www.dy2018.com//i/99518.html
2018年国产爱情片《后来的我们》HD高清国语中字,https://www.dy2018.com//i/99660.html
2017年国产爱情片《前任3：再见前任》BD国语中字,https://www.dy2018.com//i/99156.html
2018年美国6.0分动作片《环太平洋：雷霆再起》BD中英双字,https://www.dy2018.com//i/99380.html
2018年国产奇幻片《捉妖记2》BD国粤双语中字,https://www.dy2018.com//i/99317.html
2018年美国6.3分动作片《古墓丽影：源起之战》BD中英双字,https://www.dy2018.com//i/99556.html
2018年美国6.7分动作片《黑豹》BD国英双语中英双字,https://www.dy2018.com//i/99433.html
2017年欧美7.0分悬疑片《东方快车谋杀案》BD中英双字,https://www.dy2018.com//i/98970.html
2018年国产7.7分剧情片《无问西东》HD国语中字,https://www.dy2018.com//i/99532.html
2018年韩国6.8分动作片《人狼》HD韩语中字,https://www.dy2018.com//i/99900.html
2018年韩国恐怖片《窃窃私语》HD韩语中字,https://www.dy2018.com//i/99899.html
2017年欧美6.6分剧情片《谷粒》BD中英双字,https://www.dy2018.com//i/99896.html
2017年欧美6.7分剧情片《挚爱枭雄》BD中字,https://www.dy2018.com//i/99895.html
2017年欧美6.6分历史片《动物奇缘》BD中英双字,https://www.dy2018.com//i/99894.html
2018年国产动作片《甩尾王2之王者归来》HD国语中字,https://www.dy2018.com//i/99893.html
2018年美国剧情片《鱼缸加州》BD中英双字,https://www.dy2018.com//i/99892.html
2018年美国剧情片《邪恶宿舍夜惊魂》BD中英双字,https://www.dy2018.com//i/99891.html
2017年印尼恐怖片《撒旦的奴隶》BD中字,https://www.dy2018.com//i/99890.html
2017年美国6.6分动作片《时间陷阱》BD中字,https://www.dy2018.com//i/99889.html
2018年美国7.1分爱情片《致所有我曾爱过的男孩》BD中字,https://www.dy2018.com//i/99887.html
2018年香港5.9分喜剧片《栋笃特工》BD国粤双语中字,https://www.dy2018.com//i/99884.html
2018年美国7.5分剧情片《美国动物》BD中英双字,https://www.dy2018.com//i/99883.html
2018年美国7.0分爱情片《惊涛飓浪》BD中英双字,https://www.dy2018.com//i/99882.html
2018年印度6.9分剧情片《云之上》BD中英双字,https://www.dy2018.com//i/99881.html
八月经典美国7.5分动作片《黑衣人3》BD中英双字,https://www.dy2018.com//html/gndy/jddyy/20120904/39339.html
八月经典印度8.2分喜剧片《小萝莉的猴神大叔》BD中英双字,https://www.dy2018.com//i/95875.html
八月经典日本8.9分剧情片《被嫌弃的松子的一生》BD日语中字,https://www.dy2018.com//i/94653.html
八月经典香港6.9分喜剧片《龙的传人》BD国粤双语中字,https://www.dy2018.com//html/gndy/jddyy/20110322/31473.html
八月经典美国7.7分动作片《速度与激情6》BD国英双语双字,https://www.dy2018.com//i/92634.html
八月经典美国8.4分动作片《速度与激情5》BD国英双语中英双字,https://www.dy2018.com//i/92633.html
八月经典欧美7.8分传记片《玛戈王后》BD法语中字,https://www.dy2018.com//i/99826.html
七月经典美国6.6分动画片《冰川时代5：星际碰撞》BD中英双字,https://www.dy2018.com//i/97341.html
七月经典美国7.7分动作片《猎杀红色十月》BD国英双语双字,https://www.dy2018.com//html/gndy/jddyy/20100107/23883.html
七月经典美国8.6分科幻片《阿凡达》BD国英双语双字,https://www.dy2018.com//html/gndy/jddyy/20100204/24388.html
七月经典香港7.8分犯罪片《黑社会2：以和为贵》BD国粤双语中字,https://www.dy2018.com//html/gndy/jddyy/20070605/2634.html
七月经典美国8.5分动作片《银河护卫队》BD国英双语双字,https://www.dy2018.com//i/94167.html
七月经典美国7.5分喜剧片《全民情敌》BD中英双字,https://www.dy2018.com//html/gndy/jddyy/20091004/22010.html
七月经典美国7.4分剧情片《公众之敌》BD国英双语双字,https://www.dy2018.com//html/gndy/jddyy/20091014/22237.html
七月经典香港7.1分爱情片《流金岁月》BD国粤双语中字,https://www.dy2018.com//i/99724.html
2017年大陆国产剧《武动乾坤》连载至19,https://www.dy2018.com//i/99845.html
2017年大陆国产剧《我们的青春期》连载至36,https://www.dy2018.com//i/99683.html
2017年大陆国产剧《如懿传》连载至12,https://www.dy2018.com//i/99898.html
2017年大陆国产剧《天盛长歌/凰权》连载至17,https://www.dy2018.com//i/99878.html
2017年大陆国产剧《爱情进化论(2018)》连载至39,https://www.dy2018.com//i/99830.html
2017年大陆国产剧《流星花园(2018)》连载至44,https://www.dy2018.com//i/99725.html
2017年香港港台剧《特技人(国语)》连载至12,https://www.dy2018.com//i/99866.html
